gpi_ascat,percentage_match,lon,lat,soil_cat
820882.0,94.97847919655668,-8.368923,30.001425,mixed
820895.0,99.60204661739625,4.030144,30.001947,mixed
820916.0,99.30257510729614,-3.632901,30.00279,mixed
820971.0,98.35742444152432,-6.5599236,30.005001,mixed
821039.0,99.94646680942184,2.912121,30.007732,mixed
821060.0,98.96907216494846,-4.750924,30.008575,mixed
821115.0,99.66499162479062,-7.677947,30.010784,mixed
821128.0,99.93868792152054,4.7211204,30.011307,mixed
821149.0,99.29683576092415,-2.9419246,30.01215,mixed
821183.0,100.0,1.7940978,30.013515,mixed
821204.0,98.3288770053476,-5.8689475,30.01436,mixed
821259.0,91.62861491628615,-8.79597,30.01657,mixed
821272.0,99.8812351543943,3.6030972,30.017092,mixed
821348.0,98.68804664723032,-6.9869704,30.020144,mixed
821382.0,98.98550724637681,-2.2509482,30.021511,mixed
821416.0,99.6987951807229,2.485074,30.022877,mixed
821437.0,98.86934673366834,-5.177971,30.02372,mixed
821492.0,98.95366218236174,-8.104994,30.025928,mixed
821505.0,99.36672423719055,4.2940736,30.026451,mixed
821560.0,98.34586466165413,1.3670509,30.028662,mixed
821581.0,98.55167873601053,-6.2959943,30.029505,mixed
821636.0,84.52054794520548,-9.223017,30.031715,mixed
821649.0,99.78666666666666,3.1760504,30.032238,mixed
821670.0,98.50057670126874,-4.4869947,30.033081,mixed
821725.0,98.82026370575988,-7.414017,30.03529,mixed
821759.0,99.6951219512195,-2.677995,30.036657,mixed
821793.0,100.0,2.0580273,30.038023,mixed
821814.0,98.02102659245516,-5.6050177,30.038866,mixed
821869.0,92.73789649415693,-8.532041,30.041077,mixed
821882.0,99.54389965792474,3.8670268,30.0416,mixed
821903.0,98.76873661670236,-3.7960184,30.042442,mixed
821958.0,98.62258953168045,-6.723041,30.044653,mixed
822026.0,99.72253052164262,2.7490036,30.047384,mixed
822047.0,99.30955120828538,-4.9140415,30.04823,mixed
822102.0,99.51100244498778,-7.8410645,30.05044,mixed
822115.0,99.87212276214834,4.558003,30.05096,mixed
822136.0,99.09502262443439,-3.105042,30.051805,mixed
822191.0,98.37067209775968,-6.032065,30.054016,mixed
822246.0,91.03498542274052,-8.959087,30.056227,mixed
822259.0,99.5100707675558,3.43998,30.056747,mixed
822335.0,98.41706813489333,-7.150088,30.059803,mixed
822369.0,98.87121600820934,-2.4140656,30.061169,mixed
822403.0,99.79859013091641,2.3219566,30.062536,mixed
822424.0,98.88613861386139,-5.3410883,30.06338,mixed
822479.0,92.90322580645162,-8.268111,30.06559,mixed
822492.0,99.375,4.130956,30.066113,mixed
822513.0,98.9088925259138,-3.5320888,30.066956,mixed
822547.0,64.41872169099145,1.2039335,30.068323,mixed
822568.0,98.55643044619423,-6.4591117,30.069166,mixed
822636.0,99.9466097170315,3.012933,30.0719,mixed
822657.0,99.0836197021764,-4.650112,30.072744,mixed
822712.0,99.06810035842294,-7.5771346,30.074955,mixed
